obs_date,closing_balance
2026-03-02,53912
2026-03-03,53912
2026-03-04,53838
2026-03-05,53838
2026-03-06,53838
2026-03-09,53838
2026-03-10,53838
2026-03-11,53874
2026-03-12,53854
2026-03-13,53854
2026-03-16,53854
2026-03-17,55905
2026-03-18,53770
2026-03-19,53770
2026-03-20,53770
2026-03-23,53770
2026-03-24,53770
2026-03-25,53773
2026-03-26,53773
2026-03-27,53773
2026-03-30,53773
2026-03-31,53773
2026-04-01,53851
2026-04-02,53851
2026-04-08,53942
2026-04-09,53942
2026-04-10,53942
2026-04-13,54440
2026-04-14,53942
2026-04-15,53904
2026-04-16,53904
2026-04-17,53904
2026-04-20,53904
2026-04-21,53904
2026-04-22,53828
2026-04-23,53828
2026-04-24,53828
2026-04-27,53828
2026-04-28,53908
2026-04-29,53862
2026-04-30,53862
2026-05-04,53862
2026-05-05,53862
2026-05-06,53980
2026-05-07,53980
2026-05-08,53980
2026-05-11,53980
2026-05-12,53980
2026-05-13,53975
2026-05-14,53975
2026-05-15,54125
2026-05-18,53975
2026-05-19,53978
2026-05-20,53927
2026-05-21,53927
2026-05-22,53927
2026-05-26,54004
2026-05-27,53997
2026-05-28,53997
2026-05-29,53997
2026-06-01,53997
2026-06-02,53997
2026-06-03,53947
2026-06-04,53947
2026-06-05,53947
2026-06-08,54867
2026-06-09,56405
2026-06-10,53886
2026-06-11,53886
2026-06-12,53886
2026-06-15,53886
2026-06-16,53886
2026-06-17,53885
2026-06-18,53885
2026-06-22,53885
2026-06-23,53885
2026-06-24,53981
2026-06-25,54001
2026-06-26,53981
2026-06-29,53981
2026-06-30,53981
2026-07-02,54791
2026-07-03,54527
2026-07-06,54157
2026-07-07,54177
2026-07-08,56726
2026-07-09,54027
2026-07-10,54027
2026-07-13,54027
2026-07-14,54027
2026-07-15,54056
2026-07-16,54056
2026-07-17,54056
2026-07-20,54473
2026-07-21,54056
2026-07-22,53934
