reading_date,verdict,ping_countries,corroborated,sync_batch,sync_ping_only,corroborated_countries,batch_countries
2022-03-02,common-mode,45,5,43,38,Burkina Faso; Jersey; Libyan Arab Jamahiriya; Senegal; Tanzania,Afghanistan; Andorra; Aruba; Bahamas; Bahrain; Barbados; Belize; Bermuda; Brunei Darussalam; Burkina Faso; Cameroon; Cayman Islands; Congo; Cuba; Curacao; Democratic Republic Of The Congo; Dominica; French Guiana; French Polynesia; Gabon; Gibraltar; Guadeloupe; Guam; Jamaica; Jersey; Kyrgyzstan; Libyan Arab Jamahiriya; Liechtenstein; Madagascar; Martinique; Monaco; Mongolia; Mozambique; Namibia; Nepal; New Caledonia; Nicaragua; Senegal; Seychelles; Sudan; Tanzania; Us Virgin Islands; Zimbabwe
2022-03-11,common-mode,29,5,28,23,Brunei Darussalam; Ghana; Reunion; Swaziland; Ukraine,Albania; Bosnia And Herzegovina; Brunei Darussalam; Democratic Republic Of The Congo; Gambia; Ghana; Kenya; Lesotho; Liberia; Luxembourg; Malawi; Malaysia; Montenegro; Oman; Portugal; Reunion; Rwanda; Sierra Leone; Slovenia; Sri Lanka; Swaziland; Tanzania; Uganda; Ukraine; Uzbekistan; Yemen; Zambia; Zimbabwe
2023-06-18,common-mode,40,3,30,27,Armenia; Austria; Iran (Islamic Republic Of),Albania; Armenia; Austria; Azerbaijan; Bosnia And Herzegovina; Bulgaria; Croatia; Czech Republic; Finland; Georgia; Germany; Greece; Hungary; Iran (Islamic Republic Of); Iraq; Ireland; Kazakhstan; Liechtenstein; Macedonia; Moldova; Montenegro; Romania; Russian Federation; Serbia; Slovakia (Slovak Republic); Slovenia; Switzerland; Turkey; Ukraine; Uzbekistan
2023-09-05,ok,5,4,3,1,Cameroon; Congo; Gambia; Namibia,Botswana; Congo; Namibia
2023-09-06,common-mode,30,2,22,21,Timor-Leste; Venezuela,Canada; Denmark; Dominica; Fiji; Grenada; India; Jamaica; Namibia; Nepal; Saint Lucia; Singapore; Sri Lanka; Suriname; Taiwan Province Of China; Togo; Uruguay; Us Minor Outlying Islands; Us Virgin Islands; Vanuatu; Venezuela; Viet Nam; Yemen
2023-09-07,ok,5,0,4,4,,Indonesia; Singapore; Taiwan Province Of China; Timor-Leste
2024-10-02,ok,7,4,5,2,Chad; Eritrea; Guinea-Bissau; Holy See (Vatican City State),Eritrea; Guinea-Bissau; Holy See (Vatican City State); Nauru; Tonga
2024-10-03,ok,44,13,38,29,Eritrea; Guinea; Guinea-Bissau; Holy See (Vatican City State); Mozambique; Myanmar; Niger; Nigeria; Seychelles; Somalia; South Sudan; Swaziland; Tanzania,Albania; Azerbaijan; Bahrain; Bangladesh; Bosnia And Herzegovina; Botswana; Burkina Faso; Congo; Democratic Republic Of The Congo; Gambia; Ghana; Guinea; Indonesia; Kazakhstan; Kenya; Lao Peoples Democratic Republic; Lesotho; Luxembourg; Malawi; Malaysia; Maldives; Montenegro; Mozambique; Myanmar; Nigeria; Oman; Portugal; Russian Federation; Seychelles; Sierra Leone; Slovenia; Somalia; South Sudan; Swaziland; Tanzania; Thailand; Turkmenistan; Uganda
2024-10-04,ok,5,3,5,2,Eritrea; Guinea-Bissau; Holy See (Vatican City State),Eritrea; Guinea-Bissau; Holy See (Vatican City State); Nauru; Tonga
2025-03-27,common-mode,28,1,13,12,Lao Peoples Democratic Republic,Belize; Curacao; Faroe Islands; Grenada; Haiti; Jamaica; Lao Peoples Democratic Republic; Samoa; Syrian Arab Republic; Taiwan Province Of China; Tonga; Trinidad And Tobago; Venezuela
2025-04-30,common-mode,41,0,32,32,,Azerbaijan; Bahrain; Barbados; Brunei Darussalam; China; Denmark; Estonia; France; Germany; Hungary; Ireland; Italy; Jamaica; Japan; Jersey; Macedonia; Monaco; Palau; Palestinian Territories; Portugal; Puerto Rico; Qatar; Romania; Saint Lucia; Saint Vincent And The Grenadines; Serbia; Singapore; Spain; St. Pierre And Miquelon; Sweden; United Arab Emirates; Uruguay
2025-11-29,common-mode,30,2,30,28,Afghanistan; Ethiopia,Afghanistan; Albania; Andorra; Angola; Armenia; Aruba; Azerbaijan; Bahrain; Chad; Cyprus; Ethiopia; Guatemala; Guernsey; Jamaica; Kyrgyzstan; Latvia; Lebanon; Malawi; Maldives; Malta; Martinique; Montenegro; Namibia; Panama; Saint Kitts And Nevis; Saint Martin; Senegal; Sri Lanka; Sudan; Tanzania
