date,raw_value,z_score,trembling,direction,source_note,obs_date
2026-06-22,-1.2532,,0,,Upbit KRW-BTC vs Coinbase USD @ 1531.00 KRW/USD,
2026-06-23,-1.2418,,0,,Upbit KRW-BTC vs Coinbase USD @ 1531.00 KRW/USD,
2026-06-24,-1.8939,,0,,Upbit KRW-BTC vs Coinbase USD @ 1537.59 KRW/USD,
2026-06-25,-0.9558,,0,,Upbit KRW-BTC vs Coinbase USD @ 1534.53 KRW/USD,
2026-06-26,-1.5063,,0,,Upbit KRW-BTC vs Coinbase USD @ 1543.26 KRW/USD,
2026-06-27,-1.6456,,0,,Upbit KRW-BTC vs Coinbase USD @ 1543.58 KRW/USD,
2026-06-28,-0.9284,,0,,Upbit KRW-BTC vs Coinbase USD @ 1536.01 KRW/USD,
2026-06-29,-0.9836,,0,,Upbit KRW-BTC vs Coinbase USD @ 1536.48 KRW/USD,
2026-06-30,-1.4703,,0,,Upbit KRW-BTC vs Coinbase USD @ 1536.79 KRW/USD,
2026-07-01,-1.0444,,0,,Upbit KRW-BTC vs Coinbase USD @ 1541.85 KRW/USD,
2026-07-02,-1.971,-1.867,0,down,Upbit KRW-BTC vs Coinbase USD @ 1548.63 KRW/USD,
2026-07-03,-2.6853,-3.583,1,down,Upbit KRW-BTC vs Coinbase USD @ 1553.24 KRW/USD,
2026-07-04,-2.2455,-1.714,0,down,Upbit KRW-BTC vs Coinbase USD @ 1543.91 KRW/USD,
2026-07-05,-1.3877,0.131,0,up,Upbit KRW-BTC vs Coinbase USD @ 1531.72 KRW/USD,
2026-07-06,-1.9094,-0.781,0,down,Upbit KRW-BTC vs Coinbase USD @ 1532.63 KRW/USD,
2026-07-07,-1.9024,-0.684,0,down,Upbit KRW-BTC vs Coinbase USD @ 1530.98 KRW/USD,
2026-07-08,-2.0584,-0.921,0,down,Upbit KRW-BTC vs Coinbase USD @ 1530.80 KRW/USD,
2026-07-09,-1.4369,0.116,0,up,Upbit KRW-BTC vs Coinbase USD @ 1516.90 KRW/USD,
2026-07-10,-0.9244,0.911,0,up,Upbit KRW-BTC vs Coinbase USD @ 1508.29 KRW/USD,
2026-07-11,-1.0891,0.595,0,up,Upbit KRW-BTC vs Coinbase USD @ 1508.29 KRW/USD,
2026-07-12,-0.7388,1.085,0,up,Upbit KRW-BTC vs Coinbase USD @ 1502.98 KRW/USD,
2026-07-13,-0.6453,1.168,0,up,Upbit KRW-BTC vs Coinbase USD @ 1501.59 KRW/USD,
2026-07-14,-0.7322,0.978,0,up,Upbit KRW-BTC vs Coinbase USD @ 1501.33 KRW/USD,
2026-07-15,-1.7924,-0.594,0,down,Upbit KRW-BTC vs Coinbase USD @ 1497.00 KRW/USD,
2026-07-16,-1.3097,0.148,0,up,Upbit KRW-BTC vs Coinbase USD @ 1490.48 KRW/USD,
2026-07-17,-1.0184,0.577,0,up,Upbit KRW-BTC vs Coinbase USD @ 1488.31 KRW/USD,
2026-07-18,-0.3349,1.682,0,up,Upbit KRW-BTC vs Coinbase USD @ 1480.16 KRW/USD,
2026-07-19,-0.8812,0.758,0,up,Upbit KRW-BTC vs Coinbase USD @ 1486.87 KRW/USD,
2026-07-20,-0.9578,0.605,0,up,Upbit KRW-BTC vs Coinbase USD @ 1486.12 KRW/USD,
2026-07-21,-1.6931,-0.902,0,down,Upbit KRW-BTC vs Coinbase USD @ 1486.95 KRW/USD,
