date,component,value
2025-12-25,Bab el-Mandeb Strait,43
2025-12-25,Balabac Strait,8
2025-12-25,Bering Strait,1
2025-12-25,Bohai Strait,134
2025-12-25,Bosporus Strait,59
2025-12-25,Cape of Good Hope,77
2025-12-25,Dover Strait,150
2025-12-25,Gibraltar Strait,153
2025-12-25,Kerch Strait,10
2025-12-25,Korea Strait,142
2025-12-25,Lombok Strait,38
2025-12-25,Luzon Strait,48
2025-12-25,Magellan Strait,5
2025-12-25,Makassar Strait,40
2025-12-25,Malacca Strait,254
2025-12-25,Mindoro Strait,29
2025-12-25,Mona Passage,10
2025-12-25,Ombai Strait,7
2025-12-25,Oresund Strait,57
2025-12-25,Panama Canal,29
2025-12-25,Strait of Hormuz,62
2025-12-25,Suez Canal,46
2025-12-25,Sunda Strait,38
2025-12-25,Taiwan Strait,203
2025-12-25,Torres Strait,11
2025-12-25,Tsugaru Strait,32
2025-12-25,Windward Passage,10
2025-12-25,Yucatan Channel,47
2025-12-26,Bab el-Mandeb Strait,29
2025-12-26,Balabac Strait,8
2025-12-26,Bering Strait,0
2025-12-26,Bohai Strait,169
2025-12-26,Bosporus Strait,84
2025-12-26,Cape of Good Hope,99
2025-12-26,Dover Strait,194
2025-12-26,Gibraltar Strait,148
2025-12-26,Kerch Strait,15
2025-12-26,Korea Strait,173
2025-12-26,Lombok Strait,37
2025-12-26,Luzon Strait,47
2025-12-26,Magellan Strait,3
2025-12-26,Makassar Strait,57
2025-12-26,Malacca Strait,269
2025-12-26,Mindoro Strait,35
2025-12-26,Mona Passage,8
2025-12-26,Ombai Strait,7
2025-12-26,Oresund Strait,40
2025-12-26,Panama Canal,31
2025-12-26,Strait of Hormuz,62
2025-12-26,Suez Canal,36
2025-12-26,Sunda Strait,35
2025-12-26,Taiwan Strait,216
2025-12-26,Torres Strait,6
2025-12-26,Tsugaru Strait,19
2025-12-26,Windward Passage,13
2025-12-26,Yucatan Channel,49
2025-12-27,Bab el-Mandeb Strait,37
2025-12-27,Balabac Strait,4
2025-12-27,Bering Strait,0
2025-12-27,Bohai Strait,192
2025-12-27,Bosporus Strait,78
2025-12-27,Cape of Good Hope,78
2025-12-27,Dover Strait,164
2025-12-27,Gibraltar Strait,123
2025-12-27,Kerch Strait,7
2025-12-27,Korea Strait,232
2025-12-27,Lombok Strait,35
2025-12-27,Luzon Strait,61
2025-12-27,Magellan Strait,5
2025-12-27,Makassar Strait,52
2025-12-27,Malacca Strait,247
2025-12-27,Mindoro Strait,31
2025-12-27,Mona Passage,16
2025-12-27,Ombai Strait,11
2025-12-27,Oresund Strait,32
2025-12-27,Panama Canal,30
2025-12-27,Strait of Hormuz,76
2025-12-27,Suez Canal,33
2025-12-27,Sunda Strait,40
2025-12-27,Taiwan Strait,198
2025-12-27,Torres Strait,8
2025-12-27,Tsugaru Strait,27
2025-12-27,Windward Passage,16
2025-12-27,Yucatan Channel,39
2025-12-28,Bab el-Mandeb Strait,43
2025-12-28,Balabac Strait,7
2025-12-28,Bering Strait,0
2025-12-28,Bohai Strait,179
2025-12-28,Bosporus Strait,36
2025-12-28,Cape of Good Hope,81
2025-12-28,Dover Strait,182
2025-12-28,Gibraltar Strait,153
2025-12-28,Kerch Strait,10
2025-12-28,Korea Strait,186
2025-12-28,Lombok Strait,29
2025-12-28,Luzon Strait,63
2025-12-28,Magellan Strait,3
2025-12-28,Makassar Strait,48
2025-12-28,Malacca Strait,232
2025-12-28,Mindoro Strait,35
2025-12-28,Mona Passage,9
2025-12-28,Ombai Strait,9
2025-12-28,Oresund Strait,34
2025-12-28,Panama Canal,26
2025-12-28,Strait of Hormuz,48
2025-12-28,Suez Canal,33
2025-12-28,Sunda Strait,36
2025-12-28,Taiwan Strait,227
2025-12-28,Torres Strait,8
2025-12-28,Tsugaru Strait,50
2025-12-28,Windward Passage,12
2025-12-28,Yucatan Channel,47
2025-12-29,Bab el-Mandeb Strait,42
2025-12-29,Balabac Strait,6
2025-12-29,Bering Strait,0
2025-12-29,Bohai Strait,218
2025-12-29,Bosporus Strait,91
2025-12-29,Cape of Good Hope,84
2025-12-29,Dover Strait,152
2025-12-29,Gibraltar Strait,138
2025-12-29,Kerch Strait,8
2025-12-29,Korea Strait,189
2025-12-29,Lombok Strait,44
2025-12-29,Luzon Strait,74
2025-12-29,Magellan Strait,7
2025-12-29,Makassar Strait,42
2025-12-29,Malacca Strait,222
2025-12-29,Mindoro Strait,42
2025-12-29,Mona Passage,7
2025-12-29,Ombai Strait,14
2025-12-29,Oresund Strait,23
2025-12-29,Panama Canal,28
2025-12-29,Strait of Hormuz,61
2025-12-29,Suez Canal,32
2025-12-29,Sunda Strait,32
2025-12-29,Taiwan Strait,236
2025-12-29,Torres Strait,4
2025-12-29,Tsugaru Strait,40
2025-12-29,Windward Passage,12
2025-12-29,Yucatan Channel,43
2025-12-30,Bab el-Mandeb Strait,34
2025-12-30,Balabac Strait,11
2025-12-30,Bering Strait,0
2025-12-30,Bohai Strait,174
2025-12-30,Bosporus Strait,53
2025-12-30,Cape of Good Hope,108
2025-12-30,Dover Strait,160
2025-12-30,Gibraltar Strait,139
2025-12-30,Kerch Strait,7
2025-12-30,Korea Strait,151
2025-12-30,Lombok Strait,46
2025-12-30,Luzon Strait,69
2025-12-30,Magellan Strait,7
2025-12-30,Makassar Strait,54
2025-12-30,Malacca Strait,262
2025-12-30,Mindoro Strait,34
2025-12-30,Mona Passage,14
2025-12-30,Ombai Strait,15
2025-12-30,Oresund Strait,34
2025-12-30,Panama Canal,32
2025-12-30,Strait of Hormuz,80
2025-12-30,Suez Canal,39
2025-12-30,Sunda Strait,24
2025-12-30,Taiwan Strait,216
2025-12-30,Torres Strait,8
2025-12-30,Tsugaru Strait,26
2025-12-30,Windward Passage,17
2025-12-30,Yucatan Channel,47
2025-12-31,Bab el-Mandeb Strait,34
2025-12-31,Balabac Strait,11
2025-12-31,Bering Strait,0
2025-12-31,Bohai Strait,181
2025-12-31,Bosporus Strait,91
2025-12-31,Cape of Good Hope,89
2025-12-31,Dover Strait,171
2025-12-31,Gibraltar Strait,141
2025-12-31,Kerch Strait,5
2025-12-31,Korea Strait,190
2025-12-31,Lombok Strait,25
2025-12-31,Luzon Strait,70
2025-12-31,Magellan Strait,2
2025-12-31,Makassar Strait,53
2025-12-31,Malacca Strait,236
2025-12-31,Mindoro Strait,44
2025-12-31,Mona Passage,6
2025-12-31,Ombai Strait,16
2025-12-31,Oresund Strait,53
2025-12-31,Panama Canal,29
2025-12-31,Strait of Hormuz,85
2025-12-31,Suez Canal,38
2025-12-31,Sunda Strait,39
2025-12-31,Taiwan Strait,198
2025-12-31,Torres Strait,15
2025-12-31,Tsugaru Strait,21
2025-12-31,Windward Passage,20
2025-12-31,Yucatan Channel,34
2026-01-01,Bab el-Mandeb Strait,29
2026-01-01,Balabac Strait,8
2026-01-01,Bering Strait,0
2026-01-01,Bohai Strait,188
2026-01-01,Bosporus Strait,78
2026-01-01,Cape of Good Hope,80
2026-01-01,Dover Strait,158
2026-01-01,Gibraltar Strait,157
2026-01-01,Kerch Strait,14
2026-01-01,Korea Strait,164
2026-01-01,Lombok Strait,39
2026-01-01,Luzon Strait,74
2026-01-01,Magellan Strait,2
2026-01-01,Makassar Strait,41
2026-01-01,Malacca Strait,240
2026-01-01,Mindoro Strait,33
2026-01-01,Mona Passage,9
2026-01-01,Ombai Strait,6
2026-01-01,Oresund Strait,47
2026-01-01,Panama Canal,26
2026-01-01,Strait of Hormuz,78
2026-01-01,Suez Canal,27
2026-01-01,Sunda Strait,37
2026-01-01,Taiwan Strait,211
2026-01-01,Torres Strait,8
2026-01-01,Tsugaru Strait,25
2026-01-01,Windward Passage,19
2026-01-01,Yucatan Channel,52
2026-01-02,Bab el-Mandeb Strait,26
2026-01-02,Balabac Strait,7
2026-01-02,Bering Strait,0
2026-01-02,Bohai Strait,145
2026-01-02,Bosporus Strait,101
2026-01-02,Cape of Good Hope,89
2026-01-02,Dover Strait,116
2026-01-02,Gibraltar Strait,138
2026-01-02,Kerch Strait,4
2026-01-02,Korea Strait,157
2026-01-02,Lombok Strait,44
2026-01-02,Luzon Strait,53
2026-01-02,Magellan Strait,2
2026-01-02,Makassar Strait,53
2026-01-02,Malacca Strait,230
2026-01-02,Mindoro Strait,28
2026-01-02,Mona Passage,9
2026-01-02,Ombai Strait,15
2026-01-02,Oresund Strait,30
2026-01-02,Panama Canal,27
2026-01-02,Strait of Hormuz,58
2026-01-02,Suez Canal,28
2026-01-02,Sunda Strait,41
2026-01-02,Taiwan Strait,210
2026-01-02,Torres Strait,11
2026-01-02,Tsugaru Strait,46
2026-01-02,Windward Passage,10
2026-01-02,Yucatan Channel,48
2026-01-03,Bab el-Mandeb Strait,35
2026-01-03,Balabac Strait,8
2026-01-03,Bering Strait,0
2026-01-03,Bohai Strait,160
2026-01-03,Bosporus Strait,19
2026-01-03,Cape of Good Hope,77
2026-01-03,Dover Strait,152
2026-01-03,Gibraltar Strait,96
2026-01-03,Kerch Strait,8
2026-01-03,Korea Strait,179
2026-01-03,Lombok Strait,34
2026-01-03,Luzon Strait,69
2026-01-03,Magellan Strait,4
2026-01-03,Makassar Strait,49
2026-01-03,Malacca Strait,237
2026-01-03,Mindoro Strait,44
2026-01-03,Mona Passage,10
2026-01-03,Ombai Strait,12
2026-01-03,Oresund Strait,26
2026-01-03,Panama Canal,30
2026-01-03,Strait of Hormuz,52
2026-01-03,Suez Canal,38
2026-01-03,Sunda Strait,32
2026-01-03,Taiwan Strait,256
2026-01-03,Torres Strait,8
2026-01-03,Tsugaru Strait,24
2026-01-03,Windward Passage,9
2026-01-03,Yucatan Channel,56
2026-01-04,Bab el-Mandeb Strait,31
2026-01-04,Balabac Strait,13
2026-01-04,Bering Strait,0
2026-01-04,Bohai Strait,178
2026-01-04,Bosporus Strait,5
2026-01-04,Cape of Good Hope,80
2026-01-04,Dover Strait,176
2026-01-04,Gibraltar Strait,142
2026-01-04,Kerch Strait,10
2026-01-04,Korea Strait,198
2026-01-04,Lombok Strait,37
2026-01-04,Luzon Strait,72
2026-01-04,Magellan Strait,3
2026-01-04,Makassar Strait,38
2026-01-04,Malacca Strait,259
2026-01-04,Mindoro Strait,30
2026-01-04,Mona Passage,11
2026-01-04,Ombai Strait,10
2026-01-04,Oresund Strait,41
2026-01-04,Panama Canal,26
2026-01-04,Strait of Hormuz,61
2026-01-04,Suez Canal,43
2026-01-04,Sunda Strait,42
2026-01-04,Taiwan Strait,234
2026-01-04,Torres Strait,12
2026-01-04,Tsugaru Strait,22
2026-01-04,Windward Passage,14
2026-01-04,Yucatan Channel,47
2026-01-05,Bab el-Mandeb Strait,29
2026-01-05,Balabac Strait,14
2026-01-05,Bering Strait,0
2026-01-05,Bohai Strait,222
2026-01-05,Bosporus Strait,108
2026-01-05,Cape of Good Hope,125
2026-01-05,Dover Strait,179
2026-01-05,Gibraltar Strait,133
2026-01-05,Kerch Strait,30
2026-01-05,Korea Strait,279
2026-01-05,Lombok Strait,57
