date,component,value
2026-08-02,E Asia/Japan,159
2026-08-02,E Asia/Japan/adsb.fi,151
2026-08-02,E Asia/Japan/adsb.lol,0
2026-08-02,E Asia/Japan/airplanes.live,159
2026-08-02,US East,637
2026-08-02,US East/adsb.fi,621
2026-08-02,US East/adsb.lol,7
2026-08-02,US East/airplanes.live,637
2026-08-02,US West,425
2026-08-02,US West/adsb.fi,425
2026-08-02,US West/adsb.lol,0
2026-08-02,US West/airplanes.live,424
2026-08-02,W/C Europe,184
2026-08-02,W/C Europe/adsb.fi,184
2026-08-02,W/C Europe/adsb.lol,23
2026-08-02,W/C Europe/airplanes.live,184
2026-08-03,E Asia/Japan,154
2026-08-03,E Asia/Japan/adsb.fi,150
2026-08-03,E Asia/Japan/adsb.lol,152
2026-08-03,E Asia/Japan/airplanes.live,154
2026-08-03,US East,580
2026-08-03,US East/adsb.fi,573
2026-08-03,US East/adsb.lol,576
2026-08-03,US East/airplanes.live,580
2026-08-03,US West,461
2026-08-03,US West/adsb.fi,454
2026-08-03,US West/adsb.lol,455
2026-08-03,US West/airplanes.live,461
2026-08-03,W/C Europe,172
2026-08-03,W/C Europe/adsb.fi,172
2026-08-03,W/C Europe/adsb.lol,171
2026-08-03,W/C Europe/airplanes.live,171
2026-08-04,E Asia/Japan,196
2026-08-04,E Asia/Japan/adsb.fi,191
2026-08-04,E Asia/Japan/adsb.lol,196
2026-08-04,E Asia/Japan/airplanes.live,194
2026-08-04,US East,582
2026-08-04,US East/adsb.fi,578
2026-08-04,US East/adsb.lol,573
2026-08-04,US East/airplanes.live,582
2026-08-04,US West,503
2026-08-04,US West/adsb.fi,500
2026-08-04,US West/adsb.lol,501
2026-08-04,US West/airplanes.live,503
2026-08-04,W/C Europe,115
2026-08-04,W/C Europe/adsb.fi,114
2026-08-04,W/C Europe/adsb.lol,114
2026-08-04,W/C Europe/airplanes.live,115
2026-08-05,E Asia/Japan,156
2026-08-05,E Asia/Japan/adsb.fi,153
2026-08-05,E Asia/Japan/adsb.lol,156
2026-08-05,E Asia/Japan/airplanes.live,156
2026-08-05,US East,874
2026-08-05,US East/adsb.fi,856
2026-08-05,US East/adsb.lol,848
2026-08-05,US East/airplanes.live,874
2026-08-05,US West,490
2026-08-05,US West/adsb.fi,481
2026-08-05,US West/adsb.lol,484
2026-08-05,US West/airplanes.live,490
2026-08-05,W/C Europe,170
2026-08-05,W/C Europe/adsb.fi,169
2026-08-05,W/C Europe/adsb.lol,169
2026-08-05,W/C Europe/airplanes.live,170
2026-08-06,E Asia/Japan,161
2026-08-06,E Asia/Japan/adsb.fi,159
2026-08-06,E Asia/Japan/adsb.lol,159
2026-08-06,E Asia/Japan/airplanes.live,161
2026-08-06,US East,639
2026-08-06,US East/adsb.fi,624
2026-08-06,US East/adsb.lol,622
2026-08-06,US East/airplanes.live,639
2026-08-06,US West,594
2026-08-06,US West/adsb.fi,581
2026-08-06,US West/adsb.lol,581
2026-08-06,US West/airplanes.live,594
2026-08-06,W/C Europe,189
2026-08-06,W/C Europe/adsb.fi,188
2026-08-06,W/C Europe/adsb.lol,189
2026-08-06,W/C Europe/airplanes.live,188
