date,component,value
2026-08-15,USDC,2
2026-08-15,USDT,11.1
2026-08-16,USDC,1.2
2026-08-16,USDT,11.1
2026-08-17,USDC,1.7
2026-08-17,USDT,9.2
2026-08-18,USDC,0.7
2026-08-18,USDT,7.3
2026-08-19,USDC,1.5
2026-08-19,USDT,5.7
2026-08-20,USDC,1
2026-08-20,USDT,2.6
2026-08-21,USDC,0.8
2026-08-21,USDT,1.8
2026-08-22,USDC,2.9
2026-08-22,USDT,2.1
2026-08-23,USDC,0.3
2026-08-23,USDT,0.6
2026-08-24,USDC,0
2026-08-24,USDT,1.1
2026-08-26,USDC,0
2026-08-26,USDT,0.2
2026-08-27,USDC,0.4
2026-08-27,USDT,1.6
2026-08-28,USDC,0.6
2026-08-28,USDT,0.9
2026-08-30,USDC,1.3
2026-08-30,USDT,1.1
2026-08-31,USDC,0.3
2026-08-31,USDT,2.7
2026-09-01,USDC,2.3
2026-09-01,USDT,5.6
