date,line,event,direction,trail_median,reference,ratio
2023-07-09,gnss_interference,open,high,0.3774,0.2289,1.649
2023-07-10,gnss_interference,hold,high,0.3745,0.2289,1.636
2023-07-11,gnss_interference,hold,high,0.3745,0.2289,1.636
2023-07-12,gnss_interference,hold,high,0.3611,0.2289,1.578
2023-07-13,gnss_interference,hold,high,0.3611,0.2289,1.578
2023-07-14,gnss_interference,hold,high,0.3634,0.2289,1.588
2023-07-15,gnss_interference,hold,high,0.3643,0.2289,1.592
2023-07-16,gnss_interference,hold,high,0.3643,0.2289,1.592
2023-07-17,gnss_interference,hold,high,0.3571,0.2289,1.560
2023-07-18,gnss_interference,hold,high,0.3509,0.2289,1.533
2023-07-19,gnss_interference,hold,high,0.34965,0.2289,1.528
2023-07-20,gnss_interference,hold,high,0.3453,0.2289,1.509
2023-07-21,gnss_interference,hold,high,0.3453,0.2289,1.509
2023-07-22,gnss_interference,hold,high,0.34965,0.2289,1.528
2023-07-23,gnss_interference,hold,high,0.35195,0.2289,1.538
2023-07-24,gnss_interference,hold,high,0.3571,0.2289,1.560
2023-07-25,gnss_interference,hold,high,0.36375,0.2289,1.589
2023-07-26,gnss_interference,hold,high,0.3726,0.2289,1.628
2023-07-27,gnss_interference,hold,high,0.3807,0.2289,1.663
2023-07-28,gnss_interference,hold,high,0.3829,0.2289,1.673
2023-07-29,gnss_interference,hold,high,0.3809,0.2289,1.664
2023-07-30,gnss_interference,hold,high,0.3835,0.2289,1.675
2023-07-31,gnss_interference,hold,high,0.38945,0.2289,1.701
2023-08-01,gnss_interference,hold,high,0.39755,0.2289,1.737
2023-08-02,gnss_interference,hold,high,0.39755,0.2289,1.737
2023-08-03,gnss_interference,hold,high,0.39755,0.2289,1.737
2023-08-04,gnss_interference,hold,high,0.39755,0.2289,1.737
2023-08-05,gnss_interference,hold,high,0.39685,0.2289,1.734
2023-08-06,gnss_interference,hold,high,0.39155,0.2289,1.711
2023-08-07,gnss_interference,hold,high,0.39155,0.2289,1.711
2023-08-08,gnss_interference,hold,high,0.39685,0.2289,1.734
2023-08-09,gnss_interference,hold,high,0.39685,0.2289,1.734
2023-08-10,gnss_interference,hold,high,0.39685,0.2289,1.734
2023-08-11,gnss_interference,hold,high,0.3994,0.2289,1.745
2023-08-12,gnss_interference,hold,high,0.3994,0.2289,1.745
2023-08-13,gnss_interference,hold,high,0.40365,0.2289,1.763
2023-08-14,gnss_interference,hold,high,0.41395,0.2289,1.808
2023-08-15,gnss_interference,hold,high,0.41395,0.2289,1.808
2023-08-16,gnss_interference,hold,high,0.42785,0.2289,1.869
2023-08-17,gnss_interference,hold,high,0.44135,0.2289,1.928
2023-08-18,gnss_interference,hold,high,0.4479,0.2289,1.957
2023-08-19,gnss_interference,hold,high,0.46445,0.2289,2.029
2023-08-20,gnss_interference,hold,high,0.46445,0.2289,2.029
2023-08-21,gnss_interference,hold,high,0.46445,0.2289,2.029
2023-08-22,gnss_interference,hold,high,0.46445,0.2289,2.029
2023-08-23,gnss_interference,hold,high,0.46445,0.2289,2.029
2023-08-24,gnss_interference,hold,high,0.4822,0.2289,2.107
2023-08-25,gnss_interference,hold,high,0.4822,0.2289,2.107
2023-08-26,gnss_interference,hold,high,0.4822,0.2289,2.107
2023-08-27,gnss_interference,hold,high,0.47905,0.2289,2.093
2023-08-28,gnss_interference,hold,high,0.46975,0.2289,2.052
2023-08-29,gnss_interference,hold,high,0.46185,0.2289,2.018
