date,raw_value,z_score,trembling,direction,source_note,obs_date,status
2021-07-28,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-07-28 [archive import: scored retroactively, not a live reading]",2021-07-28,scoring
2021-07-29,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-07-29 [archive import: scored retroactively, not a live reading]",2021-07-29,scoring
2021-07-30,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-07-30 [archive import: scored retroactively, not a live reading]",2021-07-30,scoring
2021-08-02,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-08-02 [archive import: scored retroactively, not a live reading]",2021-08-02,scoring
2021-08-03,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-08-03 [archive import: scored retroactively, not a live reading]",2021-08-03,scoring
2021-08-04,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-08-04 [archive import: scored retroactively, not a live reading]",2021-08-04,scoring
2021-08-05,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-08-05 [archive import: scored retroactively, not a live reading]",2021-08-05,scoring
2021-08-06,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-08-06 [archive import: scored retroactively, not a live reading]",2021-08-06,scoring
2021-08-09,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-08-09 [archive import: scored retroactively, not a live reading]",2021-08-09,scoring
2021-08-10,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-08-10 [archive import: scored retroactively, not a live reading]",2021-08-10,scoring
2021-08-11,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-08-11 [archive import: scored retroactively, not a live reading]",2021-08-11,scoring
2021-08-12,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-08-12 [archive import: scored retroactively, not a live reading]",2021-08-12,scoring
2021-08-13,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-08-13 [archive import: scored retroactively, not a live reading]",2021-08-13,scoring
2021-08-16,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-08-16 [archive import: scored retroactively, not a live reading]",2021-08-16,scoring
2021-08-17,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-08-17 [archive import: scored retroactively, not a live reading]",2021-08-17,scoring
2021-08-18,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-08-18 [archive import: scored retroactively, not a live reading]",2021-08-18,scoring
2021-08-19,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-08-19 [archive import: scored retroactively, not a live reading]",2021-08-19,scoring
2021-08-20,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-08-20 [archive import: scored retroactively, not a live reading]",2021-08-20,scoring
2021-08-23,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-08-23 [archive import: scored retroactively, not a live reading]",2021-08-23,scoring
2021-08-24,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-08-24 [archive import: scored retroactively, not a live reading]",2021-08-24,scoring
2021-08-25,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-08-25 [archive import: scored retroactively, not a live reading]",2021-08-25,scoring
2021-08-26,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-08-26 [archive import: scored retroactively, not a live reading]",2021-08-26,scoring
2021-08-27,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-08-27 [archive import: scored retroactively, not a live reading]",2021-08-27,scoring
2021-08-30,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-08-30 [archive import: scored retroactively, not a live reading]",2021-08-30,scoring
2021-08-31,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-08-31 [archive import: scored retroactively, not a live reading]",2021-08-31,scoring
2021-09-01,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-09-01 [archive import: scored retroactively, not a live reading]",2021-09-01,scoring
2021-09-02,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-09-02 [archive import: scored retroactively, not a live reading]",2021-09-02,scoring
2021-09-03,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-09-03 [archive import: scored retroactively, not a live reading]",2021-09-03,scoring
2021-09-07,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-09-07 [archive import: scored retroactively, not a live reading]",2021-09-07,scoring
2021-09-08,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-09-08 [archive import: scored retroactively, not a live reading]",2021-09-08,scoring
2021-09-09,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-09-09 [archive import: scored retroactively, not a live reading]",2021-09-09,scoring
2021-09-10,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-09-10 [archive import: scored retroactively, not a live reading]",2021-09-10,scoring
2021-09-13,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-09-13 [archive import: scored retroactively, not a live reading]",2021-09-13,scoring
2021-09-14,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-09-14 [archive import: scored retroactively, not a live reading]",2021-09-14,scoring
2021-09-15,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-09-15 [archive import: scored retroactively, not a live reading]",2021-09-15,scoring
2021-09-16,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-09-16 [archive import: scored retroactively, not a live reading]",2021-09-16,scoring
2021-09-17,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-09-17 [archive import: scored retroactively, not a live reading]",2021-09-17,scoring
2021-09-20,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-09-20 [archive import: scored retroactively, not a live reading]",2021-09-20,scoring
2021-09-21,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-09-21 [archive import: scored retroactively, not a live reading]",2021-09-21,scoring
2021-09-22,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-09-22 [archive import: scored retroactively, not a live reading]",2021-09-22,scoring
2021-09-23,1,0.000,0,up,"NY Fed SRF total accepted 1.0$m on 2021-09-23 [archive import: scored retroactively, not a live reading]",2021-09-23,scoring
2021-09-24,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-09-24 [archive import: scored retroactively, not a live reading]",2021-09-24,scoring
2021-09-27,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-09-27 [archive import: scored retroactively, not a live reading]",2021-09-27,scoring
2021-09-28,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-09-28 [archive import: scored retroactively, not a live reading]",2021-09-28,scoring
2021-09-29,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-09-29 [archive import: scored retroactively, not a live reading]",2021-09-29,scoring
2021-09-30,1,0.000,0,up,"NY Fed SRF total accepted 1.0$m on 2021-09-30 [archive import: scored retroactively, not a live reading]",2021-09-30,scoring
2021-10-01,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-10-01 [archive import: scored retroactively, not a live reading]",2021-10-01,scoring
2021-10-04,1,0.000,0,up,"NY Fed SRF total accepted 1.0$m on 2021-10-04 [archive import: scored retroactively, not a live reading]",2021-10-04,scoring
2021-10-05,1,0.000,0,up,"NY Fed SRF total accepted 1.0$m on 2021-10-05 [archive import: scored retroactively, not a live reading]",2021-10-05,scoring
2021-10-06,0,0.000,0,flat,"NY Fed SRF total accepted 0.0$m on 2021-10-06 [archive import: scored retroactively, not a live reading]",2021-10-06,scoring
