sampled_utc,line,raw_value,source_note
2026-07-29T02:08:49Z,flights,1086,"ADS-B regions [W/C Europe=95, US East=302, US West=475, E Asia/Japan=214] via airplanes.live"
2026-07-29T02:08:49Z,cnh_cny,2,"Yahoo USDCNH 6.7724 − USDCNY 6.7722 (pips) [CNH 2026-07-29 02:09Z, CNY 2026-07-29 02:09Z, 0min apart]"
2026-07-29T02:08:49Z,capital_premium,-0.7182,Upbit KRW-BTC vs Coinbase USD @ 1457.52 KRW/USD
2026-07-29T10:46:11Z,flights,1550,"ADS-B regions [W/C Europe=907, US East=391, US West=55, E Asia/Japan=197] via adsb.lol, airplanes.live"
2026-07-29T10:46:11Z,cnh_cny,130,"Yahoo USDCNH 6.7678 − USDCNY 6.7548 (pips) [CNH 2026-07-29 10:46Z, CNY 2026-07-29 10:44Z, 2min apart]"
2026-07-29T10:46:11Z,capital_premium,-1.4983,Upbit KRW-BTC vs Coinbase USD @ 1457.52 KRW/USD
2026-07-29T15:53:52Z,flights,2370,"ADS-B regions [W/C Europe=912, US East=837, US West=597, E Asia/Japan=24] via airplanes.live, airplanes.live [under floor 30: all 3 providers agree]"
2026-07-29T15:53:52Z,cnh_cny,128,"Yahoo USDCNH 6.7702 − USDCNY 6.7574 (pips) [CNH 2026-07-29 15:54Z, CNY 2026-07-29 15:52Z, 1min apart]"
2026-07-29T15:53:52Z,capital_premium,-1.3876,Upbit KRW-BTC vs Coinbase USD @ 1457.52 KRW/USD
2026-07-29T21:03:57Z,flights,1941,"ADS-B regions [W/C Europe=401, US East=828, US West=667, E Asia/Japan=45] via airplanes.live"
2026-07-29T21:03:57Z,cnh_cny,52,"Yahoo USDCNH 6.7596 − USDCNY 6.7544 (pips) [CNH 2026-07-29 21:04Z, CNY 2026-07-29 18:56Z, 127min apart]"
2026-07-29T21:03:57Z,capital_premium,-1.2385,Upbit KRW-BTC vs Coinbase USD @ 1457.52 KRW/USD
2026-07-30T05:15:26Z,flights,1171,"ADS-B regions [W/C Europe=556, US East=83, US West=318, E Asia/Japan=214] via airplanes.live"
2026-07-30T05:15:26Z,cnh_cny,14,"Yahoo USDCNH 6.7610 − USDCNY 6.7596 (pips) [CNH 2026-07-30 05:15Z, CNY 2026-07-30 05:15Z, 0min apart]"
2026-07-30T05:15:26Z,capital_premium,-1.5167,Upbit KRW-BTC vs Coinbase USD @ 1448.99 KRW/USD
