date,component,event,trail_median,reference,ratio
2026-04-06,Strait of Hormuz,open,9,72,0.125
2026-04-07,Strait of Hormuz,hold,9,72,0.125
2026-04-08,Strait of Hormuz,hold,9,72,0.125
2026-04-09,Strait of Hormuz,hold,9,72,0.125
2026-04-10,Strait of Hormuz,hold,9,72,0.125
2026-04-11,Strait of Hormuz,hold,9,72,0.125
2026-04-12,Strait of Hormuz,hold,9,72,0.125
2026-04-13,Strait of Hormuz,hold,9,72,0.125
2026-04-14,Strait of Hormuz,hold,9,72,0.125
2026-04-15,Strait of Hormuz,hold,9,72,0.125
2026-04-16,Strait of Hormuz,hold,9,72,0.125
2026-04-17,Strait of Hormuz,hold,9,72,0.125
2026-04-18,Strait of Hormuz,hold,9,72,0.125
2026-04-19,Strait of Hormuz,hold,9,72,0.125
2026-04-20,Strait of Hormuz,hold,9,72,0.125
2026-04-21,Strait of Hormuz,hold,9,72,0.125
2026-04-22,Strait of Hormuz,hold,9,72,0.125
2026-04-23,Strait of Hormuz,hold,9,72,0.125
2026-04-24,Strait of Hormuz,hold,9,72,0.125
2026-04-25,Strait of Hormuz,hold,8.5,72,0.118
2026-04-26,Strait of Hormuz,hold,8,72,0.111
2026-04-27,Strait of Hormuz,hold,7.5,72,0.104
2026-04-28,Strait of Hormuz,hold,7,72,0.097
2026-04-29,Strait of Hormuz,hold,6.5,72,0.090
2026-04-30,Strait of Hormuz,hold,6.5,72,0.090
2026-05-01,Strait of Hormuz,hold,6.5,72,0.090
2026-05-02,Strait of Hormuz,hold,6.5,72,0.090
2026-05-03,Strait of Hormuz,hold,6,72,0.083
2026-05-04,Strait of Hormuz,hold,5.5,72,0.076
2026-05-05,Strait of Hormuz,hold,5.5,72,0.076
2026-05-06,Strait of Hormuz,hold,5,72,0.069
2026-05-07,Strait of Hormuz,hold,5,72,0.069
2026-05-08,Strait of Hormuz,hold,4.5,72,0.062
2026-05-09,Strait of Hormuz,hold,4.5,72,0.062
2026-05-10,Strait of Hormuz,hold,5,72,0.069
2026-05-11,Strait of Hormuz,hold,5,72,0.069
2026-05-12,Strait of Hormuz,hold,5.5,72,0.076
2026-05-13,Strait of Hormuz,hold,6,72,0.083
2026-05-14,Kerch Strait,open,5,13,0.385
2026-05-14,Strait of Hormuz,hold,6,72,0.083
2026-05-15,Kerch Strait,hold,5.5,13,0.423
2026-05-15,Strait of Hormuz,hold,5.5,72,0.076
2026-05-16,Kerch Strait,hold,7,13,0.538
2026-05-16,Strait of Hormuz,hold,5.5,72,0.076
2026-05-17,Kerch Strait,hold,8,13,0.615
2026-05-17,Strait of Hormuz,hold,5,72,0.069
2026-05-18,Kerch Strait,hold,9.5,13,0.731
2026-05-18,Strait of Hormuz,hold,5.5,72,0.076
2026-05-19,Kerch Strait,clear,11,13,0.846
2026-05-19,Strait of Hormuz,hold,6,72,0.083
2026-05-20,Strait of Hormuz,hold,6.5,72,0.090
2026-05-21,Strait of Hormuz,hold,7.5,72,0.104
2026-05-22,Strait of Hormuz,hold,7.5,72,0.104
2026-05-23,Strait of Hormuz,hold,8,72,0.111
2026-05-24,Strait of Hormuz,hold,8,72,0.111
2026-05-25,Strait of Hormuz,hold,7.5,72,0.104
2026-05-26,Strait of Hormuz,hold,7.5,72,0.104
2026-05-27,Strait of Hormuz,hold,7,72,0.097
2026-05-28,Strait of Hormuz,hold,7,72,0.097
2026-05-29,Strait of Hormuz,hold,7,72,0.097
2026-05-30,Strait of Hormuz,hold,6.5,72,0.090
2026-05-31,Strait of Hormuz,hold,6.5,72,0.090
2026-06-01,Strait of Hormuz,hold,6.5,72,0.090
2026-06-02,Strait of Hormuz,hold,6,72,0.083
2026-06-03,Strait of Hormuz,hold,6,72,0.083
2026-06-04,Strait of Hormuz,hold,6,72,0.083
2026-06-05,Strait of Hormuz,hold,6,72,0.083
2026-06-06,Strait of Hormuz,hold,5.5,72,0.076
2026-06-07,Strait of Hormuz,hold,4.5,72,0.062
2026-06-08,Strait of Hormuz,hold,4.5,72,0.062
2026-06-09,Strait of Hormuz,hold,4.5,72,0.062
2026-06-10,Strait of Hormuz,hold,4.5,72,0.062
2026-06-11,Strait of Hormuz,hold,5.5,72,0.076
2026-06-12,Strait of Hormuz,hold,6,72,0.083
2026-06-13,Strait of Hormuz,hold,6,72,0.083
2026-06-14,Strait of Hormuz,hold,6,72,0.083
2026-06-15,Strait of Hormuz,hold,6,72,0.083
2026-06-16,Strait of Hormuz,hold,6,72,0.083
2026-06-17,Strait of Hormuz,hold,6,72,0.083
2026-06-18,Strait of Hormuz,hold,6.5,72,0.090
2026-06-19,Strait of Hormuz,hold,7,72,0.097
2026-06-20,Strait of Hormuz,hold,7.5,72,0.104
2026-06-21,Strait of Hormuz,hold,8,72,0.111
2026-06-22,Strait of Hormuz,hold,9.5,72,0.132
2026-06-23,Strait of Hormuz,hold,11.5,72,0.160
2026-06-24,Strait of Hormuz,hold,12.5,72,0.174
2026-06-25,Strait of Hormuz,hold,13.5,72,0.188
2026-06-26,Strait of Hormuz,hold,14.5,72,0.201
2026-06-27,Strait of Hormuz,hold,15,72,0.208
2026-06-28,Strait of Hormuz,hold,17.5,72,0.243
2026-06-29,Strait of Hormuz,hold,21,72,0.292
2026-06-30,Strait of Hormuz,hold,21.5,72,0.299
2026-07-01,Strait of Hormuz,hold,24,72,0.333
2026-07-02,Strait of Hormuz,hold,26.5,72,0.368
2026-07-03,Strait of Hormuz,hold,29,72,0.403
2026-07-04,Strait of Hormuz,hold,29,72,0.403
