date,raw_value,z_score,trembling,direction,source_note,obs_date
2026-07-10,3,,0,,IODA 3 countries with ping-slash24 outages (24h),
2026-07-11,4,,0,,IODA 4 countries with ping-slash24 outages (24h),
2026-07-12,3,,0,,IODA 3 countries with ping-slash24 outages (24h),
2026-07-13,1,,0,,IODA 1 countries with ping-slash24 outages (24h),
2026-07-14,4,,0,,IODA 4 countries with ping-slash24 outages (24h),
2026-07-15,5,,0,,IODA 5 countries with ping-slash24 outages (24h),
2026-07-16,6,,0,,IODA 6 countries with ping-slash24 outages (24h),
2026-07-17,3,,0,,IODA 3 countries with ping-slash24 outages (24h),
2026-07-18,3,,0,,IODA 3 countries with ping-slash24 outages (24h),
2026-07-19,4,,0,,IODA 4 countries with ping-slash24 outages (24h),
2026-07-20,2,-2.023,0,down,IODA 2 countries with ping-slash24 outages (24h),
2026-07-21,1,-1.349,0,down,IODA 1 countries with ping-slash24 outages (24h),
