date,raw_value,z_score,trembling,direction,source_note,obs_date,status
2020-10-19,3,0.120,0,up,"Bitstamp settled daily close, worst 3.0bp from $1 [archive import: scored retroactively, not a live reading]",2020-10-19,scoring
2020-10-20,3,0.120,0,up,"Bitstamp settled daily close, worst 3.0bp from $1 [archive import: scored retroactively, not a live reading]",2020-10-20,scoring
2020-10-21,0,0.000,0,flat,"Bitstamp settled daily close, worst 0.0bp from $1 [archive import: scored retroactively, not a live reading]",2020-10-21,scoring
2020-10-22,0.1,0.004,0,up,"Bitstamp settled daily close, worst 0.1bp from $1 [archive import: scored retroactively, not a live reading]",2020-10-22,scoring
2020-10-23,33.9,1.356,0,up,"Bitstamp settled daily close, worst 33.9bp from $1 [archive import: scored retroactively, not a live reading]",2020-10-23,scoring
2020-10-24,28.5,1.140,0,up,"Bitstamp settled daily close, worst 28.5bp from $1 [archive import: scored retroactively, not a live reading]",2020-10-24,scoring
2020-10-25,0.2,0.008,0,up,"Bitstamp settled daily close, worst 0.2bp from $1 [archive import: scored retroactively, not a live reading]",2020-10-25,scoring
2020-10-26,0,0.000,0,flat,"Bitstamp settled daily close, worst 0.0bp from $1 [archive import: scored retroactively, not a live reading]",2020-10-26,scoring
2020-10-27,19.9,0.796,0,up,"Bitstamp settled daily close, worst 19.9bp from $1 [archive import: scored retroactively, not a live reading]",2020-10-27,scoring
2020-10-28,2.4,0.096,0,up,"Bitstamp settled daily close, worst 2.4bp from $1 [archive import: scored retroactively, not a live reading]",2020-10-28,scoring
2020-10-29,20,0.800,0,up,"Bitstamp settled daily close, worst 20.0bp from $1 [archive import: scored retroactively, not a live reading]",2020-10-29,scoring
2020-10-30,2.2,0.088,0,up,"Bitstamp settled daily close, worst 2.2bp from $1 [archive import: scored retroactively, not a live reading]",2020-10-30,scoring
2020-10-31,0.1,0.004,0,up,"Bitstamp settled daily close, worst 0.1bp from $1 [archive import: scored retroactively, not a live reading]",2020-10-31,scoring
2020-11-01,8.7,0.348,0,up,"Bitstamp settled daily close, worst 8.7bp from $1 [archive import: scored retroactively, not a live reading]",2020-11-01,scoring
2020-11-02,3,0.120,0,up,"Bitstamp settled daily close, worst 3.0bp from $1 [archive import: scored retroactively, not a live reading]",2020-11-02,scoring
2020-11-03,0,0.000,0,flat,"Bitstamp settled daily close, worst 0.0bp from $1 [archive import: scored retroactively, not a live reading]",2020-11-03,scoring
2020-11-04,0.2,0.008,0,up,"Bitstamp settled daily close, worst 0.2bp from $1 [archive import: scored retroactively, not a live reading]",2020-11-04,scoring
2020-11-05,12,0.480,0,up,"Bitstamp settled daily close, worst 12.0bp from $1 [archive import: scored retroactively, not a live reading]",2020-11-05,scoring
2020-11-06,0.5,0.020,0,up,"Bitstamp settled daily close, worst 0.5bp from $1 [archive import: scored retroactively, not a live reading]",2020-11-06,scoring
2020-11-07,5.7,0.228,0,up,"Bitstamp settled daily close, worst 5.7bp from $1 [archive import: scored retroactively, not a live reading]",2020-11-07,scoring
2020-11-08,0.1,0.004,0,up,"Bitstamp settled daily close, worst 0.1bp from $1 [archive import: scored retroactively, not a live reading]",2020-11-08,scoring
2020-11-09,3,0.120,0,up,"Bitstamp settled daily close, worst 3.0bp from $1 [archive import: scored retroactively, not a live reading]",2020-11-09,scoring
2020-11-10,5,0.200,0,up,"Bitstamp settled daily close, worst 5.0bp from $1 [archive import: scored retroactively, not a live reading]",2020-11-10,scoring
2020-11-11,0.9,0.036,0,up,"Bitstamp settled daily close, worst 0.9bp from $1 [archive import: scored retroactively, not a live reading]",2020-11-11,scoring
2020-11-12,2.9,0.116,0,up,"Bitstamp settled daily close, worst 2.9bp from $1 [archive import: scored retroactively, not a live reading]",2020-11-12,scoring
2020-11-13,1.4,0.056,0,up,"Bitstamp settled daily close, worst 1.4bp from $1 [archive import: scored retroactively, not a live reading]",2020-11-13,scoring
2020-11-14,6.5,0.260,0,up,"Bitstamp settled daily close, worst 6.5bp from $1 [archive import: scored retroactively, not a live reading]",2020-11-14,scoring
2020-11-15,0.5,0.020,0,up,"Bitstamp settled daily close, worst 0.5bp from $1 [archive import: scored retroactively, not a live reading]",2020-11-15,scoring
2020-11-16,0,0.000,0,flat,"Bitstamp settled daily close, worst 0.0bp from $1 [archive import: scored retroactively, not a live reading]",2020-11-16,scoring
