date,raw_value,z_score,trembling,direction,source_note,obs_date,status
2026-06-22,-1.2532,,0,,Upbit KRW-BTC vs Coinbase USD @ 1531.00 KRW/USD,,warming-up
2026-06-23,-1.2418,,0,,Upbit KRW-BTC vs Coinbase USD @ 1531.00 KRW/USD,,warming-up
2026-06-24,-1.8939,,0,,Upbit KRW-BTC vs Coinbase USD @ 1537.59 KRW/USD,,warming-up
2026-06-25,-0.9558,,0,,Upbit KRW-BTC vs Coinbase USD @ 1534.53 KRW/USD,,warming-up
2026-06-26,-1.5063,,0,,Upbit KRW-BTC vs Coinbase USD @ 1543.26 KRW/USD,,warming-up
2026-06-27,-1.6456,,0,,Upbit KRW-BTC vs Coinbase USD @ 1543.58 KRW/USD,,warming-up
2026-06-28,-0.9284,,0,,Upbit KRW-BTC vs Coinbase USD @ 1536.01 KRW/USD,,warming-up
2026-06-29,-0.9836,,0,,Upbit KRW-BTC vs Coinbase USD @ 1536.48 KRW/USD,,warming-up
2026-06-30,-1.4703,,0,,Upbit KRW-BTC vs Coinbase USD @ 1536.79 KRW/USD,,warming-up
2026-07-01,-1.0444,,0,,Upbit KRW-BTC vs Coinbase USD @ 1541.85 KRW/USD,,warming-up
2026-07-02,-1.971,-1.867,0,down,Upbit KRW-BTC vs Coinbase USD @ 1548.63 KRW/USD,,scoring
2026-07-03,-2.6853,-3.583,1,down,Upbit KRW-BTC vs Coinbase USD @ 1553.24 KRW/USD,,scoring
2026-07-04,-2.2455,-1.714,0,down,Upbit KRW-BTC vs Coinbase USD @ 1543.91 KRW/USD,,scoring
2026-07-05,-1.3877,0.131,0,up,Upbit KRW-BTC vs Coinbase USD @ 1531.72 KRW/USD,,scoring
2026-07-06,-1.9094,-0.781,0,down,Upbit KRW-BTC vs Coinbase USD @ 1532.63 KRW/USD,,scoring
2026-07-07,-1.9024,-0.684,0,down,Upbit KRW-BTC vs Coinbase USD @ 1530.98 KRW/USD,,scoring
2026-07-08,-2.0584,-0.921,0,down,Upbit KRW-BTC vs Coinbase USD @ 1530.80 KRW/USD,,scoring
2026-07-09,-1.4369,0.116,0,up,Upbit KRW-BTC vs Coinbase USD @ 1516.90 KRW/USD,,scoring
2026-07-10,-0.9244,0.911,0,up,Upbit KRW-BTC vs Coinbase USD @ 1508.29 KRW/USD,,scoring
2026-07-11,-1.0891,0.595,0,up,Upbit KRW-BTC vs Coinbase USD @ 1508.29 KRW/USD,,scoring
2026-07-12,-0.7388,1.085,0,up,Upbit KRW-BTC vs Coinbase USD @ 1502.98 KRW/USD,,scoring
2026-07-13,-0.6453,1.168,0,up,Upbit KRW-BTC vs Coinbase USD @ 1501.59 KRW/USD,,scoring
2026-07-14,-0.7322,0.978,0,up,Upbit KRW-BTC vs Coinbase USD @ 1501.33 KRW/USD,,scoring
2026-07-15,-1.7924,-0.594,0,down,Upbit KRW-BTC vs Coinbase USD @ 1497.00 KRW/USD,,scoring
2026-07-16,-1.3097,0.148,0,up,Upbit KRW-BTC vs Coinbase USD @ 1490.48 KRW/USD,,scoring
2026-07-17,-1.0184,0.577,0,up,Upbit KRW-BTC vs Coinbase USD @ 1488.31 KRW/USD,,scoring
2026-07-18,-0.3349,1.682,0,up,Upbit KRW-BTC vs Coinbase USD @ 1480.16 KRW/USD,,scoring
2026-07-19,-0.8812,0.758,0,up,Upbit KRW-BTC vs Coinbase USD @ 1486.87 KRW/USD,,scoring
2026-07-20,-0.9578,0.605,0,up,Upbit KRW-BTC vs Coinbase USD @ 1486.12 KRW/USD,,scoring
2026-07-21,-1.6931,-0.902,0,down,Upbit KRW-BTC vs Coinbase USD @ 1486.95 KRW/USD,,scoring
2026-07-22,-1.1432,0.259,0,up,Upbit KRW-BTC vs Coinbase USD @ 1478.63 KRW/USD,,scoring
2026-07-23,-1.3022,-0.090,0,down,Upbit KRW-BTC vs Coinbase USD @ 1480.02 KRW/USD,,scoring
2026-07-24,-0.8292,0.851,0,up,Upbit KRW-BTC vs Coinbase USD @ 1478.49 KRW/USD,,scoring
2026-07-25,-0.507,1.410,0,up,Upbit KRW-BTC vs Coinbase USD @ 1474.52 KRW/USD,,scoring
2026-07-26,0.1108,2.555,0,up,Upbit KRW-BTC vs Coinbase USD @ 1462.59 KRW/USD,,scoring
2026-07-27,-0.5037,1.299,0,up,Upbit KRW-BTC vs Coinbase USD @ 1462.79 KRW/USD,,scoring
2026-07-28,0.224,2.400,0,up,Upbit KRW-BTC vs Coinbase USD @ 1459.60 KRW/USD,,scoring
2026-07-29,-1.0186,0.200,0,up,Upbit KRW-BTC vs Coinbase USD @ 1467.33 KRW/USD,,scoring
2026-07-30,-1.5629,-0.749,0,down,Upbit KRW-BTC vs Coinbase USD @ 1457.52 KRW/USD [sampled 23:01:56Z],,scoring
2026-07-31,-2.3727,-2.020,0,down,Upbit KRW-BTC vs Coinbase USD @ 1448.99 KRW/USD [sampled 23:12:18Z],,scoring
2026-08-01,0.5304,2.716,0,up,Upbit KRW-BTC vs Coinbase USD @ 1429.51 KRW/USD [sampled 23:06:46Z],,scoring
2026-08-02,0.1834,1.976,0,up,Upbit KRW-BTC vs Coinbase USD @ 1439.43 KRW/USD [sampled 22:58:35Z],,scoring
2026-08-03,-0.2194,1.301,0,up,Upbit KRW-BTC vs Coinbase USD @ 1438.20 KRW/USD [sampled 22:59:40Z],,scoring
2026-08-04,-1.1827,-0.132,0,down,Upbit KRW-BTC vs Coinbase USD @ 1440.53 KRW/USD [sampled 00:53:18Z],,scoring
2026-08-05,-0.5675,0.798,0,up,Upbit KRW-BTC vs Coinbase USD @ 1429.59 KRW/USD [sampled 23:07:06Z],,scoring
2026-08-06,-0.6854,0.576,0,up,Upbit KRW-BTC vs Coinbase USD @ 1428.89 KRW/USD [sampled 23:05:22Z],,scoring
2026-08-07,-0.4863,0.841,0,up,Upbit KRW-BTC vs Coinbase USD @ 1423.48 KRW/USD [sampled 01:30:54Z],,scoring
2026-08-08,-1.1362,-0.131,0,down,Upbit KRW-BTC vs Coinbase USD @ 1423.48 KRW/USD [sampled 22:41:42Z],,scoring
2026-08-09,-0.3595,1.038,0,up,Upbit KRW-BTC vs Coinbase USD @ 1411.63 KRW/USD [sampled 22:34:23Z],,scoring
2026-08-10,-0.6368,0.581,0,up,Upbit KRW-BTC vs Coinbase USD @ 1412.20 KRW/USD [sampled 22:35:51Z],,scoring
2026-08-11,0.2642,1.884,0,up,Upbit KRW-BTC vs Coinbase USD @ 1409.64 KRW/USD [sampled 22:42:28Z],,scoring
2026-08-12,-0.393,0.884,0,up,Upbit KRW-BTC vs Coinbase USD @ 1417.00 KRW/USD [sampled 22:49:28Z],,scoring
2026-08-13,0.1889,1.693,0,up,Upbit KRW-BTC vs Coinbase USD @ 1412.87 KRW/USD [sampled 22:47:16Z],,scoring
2026-08-14,-0.1355,1.194,0,up,Upbit KRW-BTC vs Coinbase USD @ 1416.77 KRW/USD [sampled 22:49:24Z],,scoring
2026-08-15,-0.1041,1.215,0,up,Upbit KRW-BTC vs Coinbase USD @ 1418.41 KRW/USD [sampled 22:28:11Z],,scoring
2026-08-16,-0.0198,1.279,0,up,Upbit KRW-BTC vs Coinbase USD @ 1415.43 KRW/USD [sampled 22:26:42Z],,scoring
2026-08-17,0.2653,1.613,0,up,Upbit KRW-BTC vs Coinbase USD @ 1414.86 KRW/USD [sampled 22:26:32Z],,scoring
2026-08-18,-0.2587,0.903,0,up,Upbit KRW-BTC vs Coinbase USD @ 1415.10 KRW/USD [sampled 22:29:01Z],,scoring
2026-08-19,-0.6083,0.448,0,up,Upbit KRW-BTC vs Coinbase USD @ 1414.42 KRW/USD [sampled 22:28:31Z],,scoring
2026-08-20,-3.2295,-2.935,0,down,Upbit KRW-BTC vs Coinbase USD @ 1411.93 KRW/USD [sampled 22:28:50Z],,scoring
2026-08-21,-0.8356,0.152,0,up,Upbit KRW-BTC vs Coinbase USD @ 1391.03 KRW/USD [sampled 22:32:22Z],,scoring
2026-08-22,-1.8437,-1.126,0,down,Upbit KRW-BTC vs Coinbase USD @ 1394.71 KRW/USD [sampled 22:29:42Z],,scoring
