date,raw_value,z_score,trembling,direction,source_note,obs_date
2026-06-22,1810,,0,,"IMF PortWatch 28 chokepoints, total transits 2026-06-14",2026-06-14
2026-06-23,1810,,0,,"IMF PortWatch 28 chokepoints, total transits 2026-06-14",2026-06-14
2026-06-24,1943,,0,,"IMF PortWatch 28 chokepoints, total transits 2026-06-21",2026-06-21
2026-06-25,1943,,0,,"IMF PortWatch 28 chokepoints, total transits 2026-06-21",2026-06-21
2026-06-26,1943,,0,,"IMF PortWatch 28 chokepoints, total transits 2026-06-21",2026-06-21
2026-06-27,1943,,0,,"IMF PortWatch 28 chokepoints, total transits 2026-06-21",2026-06-21
2026-06-28,1943,,0,,"IMF PortWatch 28 chokepoints, total transits 2026-06-21",2026-06-21
2026-06-29,1943,,0,,"IMF PortWatch 28 chokepoints, total transits 2026-06-21",2026-06-21
2026-06-30,1943,,0,,"IMF PortWatch 28 chokepoints, total transits 2026-06-21",2026-06-21
2026-07-01,1943,,0,,"IMF PortWatch 28 chokepoints, total transits 2026-06-21",2026-06-21
2026-07-02,1927,-0.269,0,down,"IMF PortWatch 28 chokepoints, total transits 2026-06-28",2026-06-28
2026-07-03,1927,-0.281,0,down,"IMF PortWatch 28 chokepoints, total transits 2026-06-28",2026-06-28
2026-07-04,1927,-0.293,0,down,"IMF PortWatch 28 chokepoints, total transits 2026-06-28",2026-06-28
2026-07-05,1927,-0.303,0,down,"IMF PortWatch 28 chokepoints, total transits 2026-06-28",2026-06-28
2026-07-06,1927,-0.314,0,down,"IMF PortWatch 28 chokepoints, total transits 2026-06-28",2026-06-28
2026-07-07,1927,-0.324,0,down,"IMF PortWatch 28 chokepoints, total transits 2026-06-28",2026-06-28
2026-07-08,2017,6.914,1,up,"IMF PortWatch 28 chokepoints, total transits 2026-07-05",2026-07-05
2026-07-09,2017,3.120,1,up,"IMF PortWatch 28 chokepoints, total transits 2026-07-05",2026-07-05
2026-07-10,2017,,0,,"IMF PortWatch 28 chokepoints, total transits 2026-07-05 [stale: observation already recorded]",2026-07-05
2026-07-11,2017,,0,,"IMF PortWatch 28 chokepoints, total transits 2026-07-05 [stale: observation already recorded]",2026-07-05
2026-07-12,2017,,0,,"IMF PortWatch 28 chokepoints, total transits 2026-07-05 [stale: observation already recorded]",2026-07-05
2026-07-13,2017,,0,,"IMF PortWatch 28 chokepoints, total transits 2026-07-05 [stale: observation already recorded]",2026-07-05
2026-07-14,2017,,0,,"IMF PortWatch 28 chokepoints, total transits 2026-07-05 [stale: observation already recorded]",2026-07-05
2026-07-15,2137,,0,,"IMF PortWatch 28 chokepoints, total transits 2026-07-12",2026-07-12
2026-07-16,2137,,0,,"IMF PortWatch 28 chokepoints, total transits 2026-07-12 [stale: observation already recorded]",2026-07-12
2026-07-17,2137,,0,,"IMF PortWatch 28 chokepoints, total transits 2026-07-12 [stale: observation already recorded]",2026-07-12
2026-07-18,2137,,0,,"IMF PortWatch 28 chokepoints, total transits 2026-07-12 [stale: observation already recorded]",2026-07-12
2026-07-19,2137,,0,,"IMF PortWatch 28 chokepoints, total transits 2026-07-12 [stale: observation already recorded]",2026-07-12
