date,raw_value,z_score,trembling,direction,source_note,obs_date
2026-06-22,104,,0,,Yahoo USDCNH 6.7775 − USDCNY 6.7671 (pips),
2026-06-23,38,,0,,Yahoo USDCNH 6.7778 − USDCNY 6.7740 (pips),
2026-06-24,91,,0,,Yahoo USDCNH 6.7935 − USDCNY 6.7844 (pips),
2026-06-25,26,,0,,Yahoo USDCNH 6.8127 − USDCNY 6.8101 (pips),
2026-06-26,119,,0,,Yahoo USDCNH 6.8011 − USDCNY 6.7892 (pips),
2026-06-27,133,,0,,Yahoo USDCNH 6.8030 − USDCNY 6.7897 (pips),
2026-06-28,133,,0,,Yahoo USDCNH 6.8030 − USDCNY 6.7897 (pips),
2026-06-29,115,,0,,Yahoo USDCNH 6.8012 − USDCNY 6.7897 (pips),
2026-06-30,111,,0,,Yahoo USDCNH 6.7979 − USDCNY 6.7868 (pips),
2026-07-01,122,,0,,Yahoo USDCNH 6.7905 − USDCNY 6.7783 (pips),
2026-07-02,-4,-5.442,1,down,Yahoo USDCNH 6.7934 − USDCNY 6.7938 (pips),
2026-07-03,110,-0.034,0,down,Yahoo USDCNH 6.7877 − USDCNY 6.7767 (pips),
2026-07-04,135,1.066,0,up,Yahoo USDCNH 6.7837 − USDCNY 6.7702 (pips),
2026-07-05,135,0.809,0,up,Yahoo USDCNH 6.7837 − USDCNY 6.7702 (pips),
2026-07-06,42,-2.394,0,down,Yahoo USDCNH 6.7834 − USDCNY 6.7792 (pips),
2026-07-07,-20,-4.016,1,down,Yahoo USDCNH 6.7933 − USDCNY 6.7953 (pips),
2026-07-08,98,-0.375,0,down,Yahoo USDCNH 6.8027 − USDCNY 6.7929 (pips),
2026-07-09,35,-2.199,0,down,Yahoo USDCNH 6.8055 − USDCNY 6.8020 (pips),
2026-07-10,38,-1.790,0,down,Yahoo USDCNH 6.7873 − USDCNY 6.7835 (pips),
2026-07-11,143,0.907,0,up,Yahoo USDCNH 6.7810 − USDCNY 6.7667 (pips),
2026-07-12,143,0.899,0,up,Yahoo USDCNH 6.7810 − USDCNY 6.7667 (pips),
2026-07-13,76,-0.917,0,down,Yahoo USDCNH 6.7837 − USDCNY 6.7761 (pips),
2026-07-14,132,0.602,0,up,Yahoo USDCNH 6.7841 − USDCNY 6.7709 (pips),
2026-07-15,103,-0.189,0,down,Yahoo USDCNH 6.7727 − USDCNY 6.7624 (pips),
2026-07-16,84,-0.575,0,down,Yahoo USDCNH 6.7663 − USDCNY 6.7579 (pips),
2026-07-17,91,-0.302,0,down,Yahoo USDCNH 6.7723 − USDCNY 6.7632 (pips),
