date,raw_value,z_score,trembling,direction,source_note,obs_date,status
2026-07-29,56249,,0,,"day length 15.6247h at 51.4779N,0.0E (sunrise 04:17:46Z, sunset 19:55:15Z) — CONTROL LINE, no guard, never counted; a tremble here outside Feb-Mar is the instrument, not the world",,warming-up
2026-07-30,56249,,0,,"day length 15.6247h at 51.4779N,0.0E (sunrise 04:17:46Z, sunset 19:55:15Z) — CONTROL LINE, no guard, never counted; a tremble here outside Feb-Mar is the instrument, not the world [sampled 23:02:02Z]",,warming-up
2026-07-31,56066,,0,,"day length 15.5739h at 51.4779N,0.0E (sunrise 04:19:15Z, sunset 19:53:41Z) — CONTROL LINE, no guard, never counted; a tremble here outside Feb-Mar is the instrument, not the world [sampled 23:12:38Z]",,warming-up
2026-08-01,55881,,0,,"day length 15.5225h at 51.4779N,0.0E (sunrise 04:20:44Z, sunset 19:52:05Z) — CONTROL LINE, no guard, never counted; a tremble here outside Feb-Mar is the instrument, not the world [sampled 23:06:53Z]",,warming-up
2026-08-02,55693,,0,,"day length 15.4703h at 51.4779N,0.0E on 2026-08-01 (sunrise 04:22:15Z, sunset 19:50:28Z) — CONTROL LINE, no guard, never counted; a tremble here outside Feb-Mar is the instrument, not the world [sampled 22:58:43Z]",2026-08-01,warming-up
2026-08-03,55503,,0,,"day length 15.4175h at 51.4779N,0.0E on 2026-08-02 (sunrise 04:23:46Z, sunset 19:48:49Z) — CONTROL LINE, no guard, never counted; a tremble here outside Feb-Mar is the instrument, not the world [sampled 22:59:50Z]",2026-08-02,warming-up
2026-08-04,55116,,0,,"day length 15.3100h at 51.4779N,0.0E on 2026-08-04 (sunrise 04:26:49Z, sunset 19:45:25Z) — CONTROL LINE, no guard, never counted; a tremble here outside Feb-Mar is the instrument, not the world [sampled 00:53:42Z]",2026-08-04,warming-up
2026-08-05,55116,,0,,"day length 15.3100h at 51.4779N,0.0E on 2026-08-04 (sunrise 04:26:49Z, sunset 19:45:25Z) — CONTROL LINE, no guard, never counted; a tremble here outside Feb-Mar is the instrument, not the world [sampled 23:07:30Z] [stale: observation already recorded]",2026-08-04,stale
2026-08-06,54918,,0,,"day length 15.2550h at 51.4779N,0.0E on 2026-08-05 (sunrise 04:28:22Z, sunset 19:43:40Z) — CONTROL LINE, no guard, never counted; a tremble here outside Feb-Mar is the instrument, not the world [sampled 23:05:48Z]",2026-08-05,warming-up
2026-08-07,54519,,0,,"day length 15.1442h at 51.4779N,0.0E on 2026-08-07 (sunrise 04:31:28Z, sunset 19:40:07Z) — CONTROL LINE, no guard, never counted; a tremble here outside Feb-Mar is the instrument, not the world [sampled 01:31:39Z]",2026-08-07,warming-up
2026-08-08,54519,,0,,"day length 15.1442h at 51.4779N,0.0E on 2026-08-07 (sunrise 04:31:28Z, sunset 19:40:07Z) — CONTROL LINE, no guard, never counted; a tremble here outside Feb-Mar is the instrument, not the world [sampled 22:42:33Z] [stale: observation already recorded]",2026-08-07,stale
2026-08-09,54315,,0,,"day length 15.0875h at 51.4779N,0.0E on 2026-08-08 (sunrise 04:33:02Z, sunset 19:38:17Z) — CONTROL LINE, no guard, never counted; a tremble here outside Feb-Mar is the instrument, not the world [sampled 22:34:47Z]",2026-08-08,warming-up
2026-08-10,54111,-1.661,0,down,"day length 15.0308h at 51.4779N,0.0E on 2026-08-09 (sunrise 04:34:36Z, sunset 19:36:27Z) — CONTROL LINE, no guard, never counted; a tremble here outside Feb-Mar is the instrument, not the world [sampled 22:36:19Z]",2026-08-09,scoring
2026-08-11,53905,-2.032,0,down,"day length 14.9736h at 51.4779N,0.0E on 2026-08-10 (sunrise 04:36:10Z, sunset 19:34:35Z) — CONTROL LINE, no guard, never counted; a tremble here outside Feb-Mar is the instrument, not the world [sampled 22:43:14Z]",2026-08-10,scoring
2026-08-12,53696,-1.698,0,down,"day length 14.9156h at 51.4779N,0.0E on 2026-08-11 (sunrise 04:37:45Z, sunset 19:32:41Z) — CONTROL LINE, no guard, never counted; a tremble here outside Feb-Mar is the instrument, not the world [sampled 22:49:51Z]",2026-08-11,scoring
2026-08-13,53486,-1.462,0,down,"day length 14.8572h at 51.4779N,0.0E on 2026-08-12 (sunrise 04:39:20Z, sunset 19:30:46Z) — CONTROL LINE, no guard, never counted; a tremble here outside Feb-Mar is the instrument, not the world [sampled 22:47:39Z]",2026-08-12,scoring
2026-08-14,53275,-1.670,0,down,"day length 14.7986h at 51.4779N,0.0E on 2026-08-13 (sunrise 04:40:55Z, sunset 19:28:50Z) — CONTROL LINE, no guard, never counted; a tremble here outside Feb-Mar is the instrument, not the world [sampled 22:49:46Z]",2026-08-13,scoring
2026-08-15,53062,-1.583,0,down,"day length 14.7394h at 51.4779N,0.0E on 2026-08-14 (sunrise 04:42:30Z, sunset 19:26:52Z) — CONTROL LINE, no guard, never counted; a tremble here outside Feb-Mar is the instrument, not the world [sampled 22:28:46Z]",2026-08-14,scoring
2026-08-16,52849,-1.666,0,down,"day length 14.6803h at 51.4779N,0.0E on 2026-08-15 (sunrise 04:44:05Z, sunset 19:24:54Z) — CONTROL LINE, no guard, never counted; a tremble here outside Feb-Mar is the instrument, not the world [sampled 22:27:05Z]",2026-08-15,scoring
2026-08-17,52633,-1.496,0,down,"day length 14.6203h at 51.4779N,0.0E on 2026-08-16 (sunrise 04:45:41Z, sunset 19:22:54Z) — CONTROL LINE, no guard, never counted; a tremble here outside Feb-Mar is the instrument, not the world [sampled 22:26:56Z]",2026-08-16,scoring
2026-08-18,52417,-1.461,0,down,"day length 14.5603h at 51.4779N,0.0E on 2026-08-17 (sunrise 04:47:16Z, sunset 19:20:53Z) — CONTROL LINE, no guard, never counted; a tremble here outside Feb-Mar is the instrument, not the world [sampled 22:29:47Z]",2026-08-17,scoring
2026-08-19,52199,-1.605,0,down,"day length 14.4997h at 51.4779N,0.0E on 2026-08-18 (sunrise 04:48:52Z, sunset 19:18:51Z) — CONTROL LINE, no guard, never counted; a tremble here outside Feb-Mar is the instrument, not the world [sampled 22:28:54Z]",2026-08-18,scoring
2026-08-20,51980,-1.493,0,down,"day length 14.4389h at 51.4779N,0.0E on 2026-08-19 (sunrise 04:50:28Z, sunset 19:16:48Z) — CONTROL LINE, no guard, never counted; a tremble here outside Feb-Mar is the instrument, not the world [sampled 22:29:39Z]",2026-08-19,scoring
