date,raw_value,z_score,trembling,direction,source_note
2026-06-22,1336,,0,,ADS-B airborne over 4 regions via airplanes.live
2026-06-23,1300,,0,,ADS-B airborne over 4 regions via airplanes.live
2026-06-24,1602,,0,,ADS-B airborne over 4 regions via airplanes.live
2026-06-25,1792,,0,,ADS-B airborne over 4 regions via airplanes.live
2026-06-26,1831,,0,,ADS-B airborne over 4 regions via airplanes.live
2026-06-27,1703,,0,,ADS-B airborne over 4 regions via airplanes.live
2026-06-28,1363,,0,,ADS-B airborne over 4 regions via airplanes.live
2026-06-29,1667,,0,,ADS-B airborne over 4 regions via airplanes.live
2026-06-30,1769,,0,,ADS-B airborne over 4 regions via airplanes.live
2026-07-01,1717,,0,,ADS-B airborne over 4 regions via airplanes.live
2026-07-02,1751,0.466,0,up,ADS-B airborne over 4 regions via airplanes.live
2026-07-03,1780,0.584,0,up,ADS-B airborne over 4 regions via airplanes.live
2026-07-04,1441,-2.387,0,down,"ADS-B airborne over 4 regions via adsb.fi, airplanes.live"
