date,raw_value,z_score,trembling,direction,source_note,obs_date,status
2026-07-23,3.322,,0,,dolarapi blue 1555 / oficial 1505 = +3.3% premium,2026-07-22,warming-up
2026-07-24,2.97,,0,,dolarapi blue 1560 / oficial 1515 = +3.0% premium,2026-07-23,warming-up
2026-07-25,1.645,,0,,dolarapi blue 1545 / oficial 1520 = +1.6% premium,2026-07-24,warming-up
2026-07-26,1.645,,0,,dolarapi blue 1545 / oficial 1520 = +1.6% premium,2026-07-25,warming-up
2026-07-27,1.645,,0,,dolarapi blue 1545 / oficial 1520 = +1.6% premium,2026-07-26,warming-up
2026-07-28,2.632,,0,,dolarapi blue 1560 / oficial 1520 = +2.6% premium,2026-07-27,warming-up
2026-07-29,3.289,,0,,dolarapi blue 1570 / oficial 1520 = +3.3% premium,2026-07-28,warming-up
2026-07-30,3.63,,0,,dolarapi blue 1570 / oficial 1515 = +3.6% premium [sampled 23:01:59Z],2026-07-29,warming-up
2026-07-31,3.642,,0,,dolarapi blue 1565 / oficial 1510 = +3.6% premium [sampled 23:12:22Z],2026-07-30,warming-up
2026-08-01,3.311,,0,,dolarapi blue 1560 / oficial 1510 = +3.3% premium [sampled 23:06:50Z],2026-07-31,warming-up
2026-08-02,3.311,0.331,0,up,dolarapi blue 1560 / oficial 1510 = +3.3% premium [sampled 22:58:39Z],2026-08-01,scoring
2026-08-03,3.311,0.035,0,up,dolarapi blue 1560 / oficial 1510 = +3.3% premium [sampled 22:59:45Z],2026-08-02,scoring
2026-08-04,2.64,-1.182,0,down,dolarapi blue 1555 / oficial 1515 = +2.6% premium [sampled 00:53:37Z],2026-08-03,scoring
2026-08-05,1.98,-2.039,0,down,dolarapi blue 1545 / oficial 1515 = +2.0% premium [sampled 23:07:24Z],2026-08-04,scoring
2026-08-06,1.316,-3.098,0,down,dolarapi blue 1540 / oficial 1520 = +1.3% premium [sampled 23:05:40Z],2026-08-05,scoring
2026-08-07,0.658,-3.437,0,down,dolarapi blue 1530 / oficial 1520 = +0.7% premium [sampled 01:31:12Z],2026-08-06,scoring
