date,raw_value,z_score,trembling,direction,source_note,obs_date
2026-06-22,135,,0,,Fingrid dataset 177 max |dev| over 1435 points (24h),
2026-06-23,135,,0,,Fingrid dataset 177 max |dev| over 1429 points (24h),
2026-06-24,85,,0,,Fingrid dataset 177 max |dev| over 1435 points (24h),
2026-06-25,96,,0,,Fingrid dataset 177 max |dev| over 1437 points (24h),
2026-06-26,97,,0,,Fingrid dataset 177 max |dev| over 1438 points (24h),
2026-06-27,101,,0,,Fingrid dataset 177 max |dev| over 1436 points (24h),
2026-06-28,85,,0,,Fingrid dataset 177 max |dev| over 1438 points (24h),
2026-06-29,150,,0,,Fingrid dataset 177 max |dev| over 1435 points (24h),
2026-06-30,169,,0,,Fingrid dataset 177 max |dev| over 1436 points (24h),
2026-07-01,115,,0,,Fingrid dataset 177 max |dev| over 1437 points (24h),
2026-07-02,103,-0.147,0,down,Fingrid dataset 177 max |dev| over 1436 points (24h),
2026-07-03,89,-0.525,0,down,Fingrid dataset 177 max |dev| over 1437 points (24h),
2026-07-04,114,0.540,0,up,Fingrid dataset 177 max |dev| over 1436 points (24h),
2026-07-05,101.6,-0.067,0,down,Fingrid dataset 177 max |dev| over 1435 points (24h),
2026-07-06,120,0.918,0,up,Fingrid dataset 177 max |dev| over 1437 points (24h),
2026-07-07,103,0.000,0,flat,Fingrid dataset 177 max |dev| over 1438 points (24h),
2026-07-08,155,2.698,0,up,Fingrid dataset 177 max |dev| over 1437 points (24h),
2026-07-09,99,-0.193,0,down,Fingrid dataset 177 max |dev| over 1434 points (24h),
2026-07-10,93,-0.519,0,down,Fingrid dataset 177 max |dev| over 1436 points (24h),
2026-07-11,66,-2.080,0,down,Fingrid dataset 177 max |dev| over 1436 points (24h),
2026-07-12,166,3.305,1,up,Fingrid dataset 177 max |dev| over 1438 points (24h),
2026-07-13,111,0.385,0,up,Fingrid dataset 177 max |dev| over 1438 points (24h),
2026-07-14,126,1.193,0,up,Fingrid dataset 177 max |dev| over 1438 points (24h),
2026-07-15,86,-0.819,0,down,Fingrid dataset 177 max |dev| over 1436 points (24h),
2026-07-16,104,0.044,0,up,Fingrid dataset 177 max |dev| over 1437 points (24h),
2026-07-17,186,3.999,1,up,Fingrid dataset 177 max |dev| over 1436 points (24h),
2026-07-18,97,-0.283,0,down,Fingrid dataset 177 max |dev| over 1437 points (24h),
2026-07-19,122,0.915,0,up,Fingrid dataset 177 max |dev| over 1434 points (24h),
