date,raw_value,z_score,trembling,direction,source_note,obs_date,status
2026-03-03,53912,,0,,"HKMA aggregate balance 53912 HK$m (2026-03-02) [archive import: scored retroactively, not a live reading]",2026-03-02,warming-up
2026-03-04,53912,,0,,"HKMA aggregate balance 53912 HK$m (2026-03-03) [archive import: scored retroactively, not a live reading]",2026-03-03,warming-up
2026-03-05,53838,,0,,"HKMA aggregate balance 53838 HK$m (2026-03-04) [archive import: scored retroactively, not a live reading]",2026-03-04,warming-up
2026-03-06,53838,,0,,"HKMA aggregate balance 53838 HK$m (2026-03-05) [archive import: scored retroactively, not a live reading]",2026-03-05,warming-up
2026-03-07,53838,,0,,"HKMA aggregate balance 53838 HK$m (2026-03-06) [archive import: scored retroactively, not a live reading]",2026-03-06,warming-up
2026-03-10,53838,,0,,"HKMA aggregate balance 53838 HK$m (2026-03-09) [archive import: scored retroactively, not a live reading]",2026-03-09,warming-up
2026-03-11,53838,,0,,"HKMA aggregate balance 53838 HK$m (2026-03-10) [archive import: scored retroactively, not a live reading]",2026-03-10,warming-up
2026-03-12,53874,,0,,"HKMA aggregate balance 53874 HK$m (2026-03-11) [archive import: scored retroactively, not a live reading]",2026-03-11,warming-up
2026-03-13,53854,,0,,"HKMA aggregate balance 53854 HK$m (2026-03-12) [archive import: scored retroactively, not a live reading]",2026-03-12,warming-up
2026-03-14,53854,,0,,"HKMA aggregate balance 53854 HK$m (2026-03-13) [archive import: scored retroactively, not a live reading]",2026-03-13,warming-up
2026-03-17,53854,0.311,0,up,"HKMA aggregate balance 53854 HK$m (2026-03-16) [archive import: scored retroactively, not a live reading]",2026-03-16,scoring
2026-03-18,55905,65.035,1,up,"HKMA aggregate balance 55905 HK$m (2026-03-17) [archive import: scored retroactively, not a live reading]",2026-03-17,scoring
2026-03-19,53770,-3.111,0,down,"HKMA aggregate balance 53770 HK$m (2026-03-18) [archive import: scored retroactively, not a live reading]",2026-03-18,scoring
2026-03-20,53770,-2.617,0,down,"HKMA aggregate balance 53770 HK$m (2026-03-19) [archive import: scored retroactively, not a live reading]",2026-03-19,scoring
2026-03-21,53770,-2.718,0,down,"HKMA aggregate balance 53770 HK$m (2026-03-20) [archive import: scored retroactively, not a live reading]",2026-03-20,scoring
