date,raw_value,z_score,trembling,direction,source_note
2026-06-22,3,,0,,IODA 3 countries with outage events (24h)
2026-06-23,3,,0,,IODA 3 countries with outage events (24h)
2026-06-24,2,,0,,IODA 2 countries with outage events (24h)
2026-06-25,4,,0,,IODA 4 countries with outage events (24h)
2026-06-26,2,,0,,IODA 2 countries with outage events (24h)
2026-06-27,2,,0,,IODA 2 countries with outage events (24h)
2026-06-28,3,,0,,IODA 3 countries with outage events (24h)
2026-06-29,1,,0,,IODA 1 countries with outage events (24h)
2026-06-30,1,,0,,IODA 1 countries with outage events (24h)
2026-07-01,3,,0,,IODA 3 countries with outage events (24h)
2026-07-02,3,0.674,0,up,IODA 3 countries with outage events (24h)
2026-07-03,2,-0.674,0,down,IODA 2 countries with outage events (24h)
2026-07-04,0,-3.372,1,down,IODA 0 countries with outage events (24h)
2026-07-05,1,-0.674,0,down,IODA 1 countries with outage events (24h)
2026-07-06,2,0.000,0,flat,IODA 2 countries with outage events (24h)
