date,raw_value,z_score,trembling,direction,source_note
2026-06-22,4729,,0,,IMF PortWatch global port calls 2026-06-12
2026-06-23,4729,,0,,IMF PortWatch global port calls 2026-06-12
2026-06-24,4760,,0,,IMF PortWatch global port calls 2026-06-19
2026-06-25,4760,,0,,IMF PortWatch global port calls 2026-06-19
2026-06-26,4760,,0,,IMF PortWatch global port calls 2026-06-19
2026-06-27,4760,,0,,IMF PortWatch global port calls 2026-06-19
2026-06-28,4760,,0,,IMF PortWatch global port calls 2026-06-19
2026-06-29,4760,,0,,IMF PortWatch global port calls 2026-06-19
2026-06-30,4760,,0,,IMF PortWatch global port calls 2026-06-19
2026-07-01,4760,,0,,IMF PortWatch global port calls 2026-06-19
2026-07-02,4727,-2.380,0,down,IMF PortWatch global port calls 2026-06-26
2026-07-03,4727,-1.995,0,down,IMF PortWatch global port calls 2026-06-26
2026-07-04,4727,-1.785,0,down,IMF PortWatch global port calls 2026-06-26
2026-07-05,4727,-1.652,0,down,IMF PortWatch global port calls 2026-06-26
2026-07-06,4727,-1.558,0,down,IMF PortWatch global port calls 2026-06-26
2026-07-07,4727,-1.489,0,down,IMF PortWatch global port calls 2026-06-26
